UWI,State,County Name,District Name,Latitude,Longitude
42163306100000,TX,FRIO,RR DISTRICT 01,28.6760807,-99.08258057
42163306110000,TX,FRIO,RR DISTRICT 01,28.71146011,-99.19065857
42163306120000,TX,FRIO,RR DISTRICT 01,28.72126007,-99.17295074
42163306260000,TX,FRIO,RR DISTRICT 01,28.74268913,-99.32441711
42163306270000,TX,FRIO,RR DISTRICT 01,28.74629021,-99.32881165
42163306290000,TX,FRIO,RR DISTRICT 01,28.68829918,-99.10092926
42163306300000,TX,FRIO,RR DISTRICT 01,28.9172802,-98.85990906
42163306320000,TX,FRIO,RR DISTRICT 01,28.73489952,-99.2990799
42163306340000,TX,FRIO,RR DISTRICT 01,28.65702057,-99.23297119
42163306370000,TX,FRIO,RR DISTRICT 01,28.89991951,-99.04443359
42163306430000,TX,FRIO,RR DISTRICT 01,28.72813034,-99.29257965
42163306520000,TX,FRIO,RR DISTRICT 01,28.74118042,-99.29164886
42163306580000,TX,FRIO,RR DISTRICT 01,28.92552948,-98.99385071
42163306680000,TX,FRIO,RR DISTRICT 01,28.66511917,-99.30732727
42163306690000,TX,FRIO,RR DISTRICT 01,28.65601921,-99.31710815
42163306700000,TX,FRIO,RR DISTRICT 01,28.65797997,-99.39930725
42163306710000,TX,FRIO,RR DISTRICT 01,28.66159058,-99.40226746
42163306800000,TX,FRIO,RR DISTRICT 01,28.74058914,-99.3147583
42163306830000,TX,FRIO,RR DISTRICT 01,28.7228508,-99.1228714
42163306850000,TX,FRIO,RR DISTRICT 01,28.66111946,-99.36353302
42163306870000,TX,FRIO,RR DISTRICT 01,28.74798965,-99.31941986
42163306910000,TX,FRIO,RR DISTRICT 01,28.92122078,-98.84095001
42163306920000,TX,FRIO,RR DISTRICT 01,28.91354942,-98.84378052
42163306930000,TX,FRIO,RR DISTRICT 01,28.72579002,-99.17714691
42163306960000,TX,FRIO,RR DISTRICT 01,28.69128036,-99.40634918
